case_id,act_name
1,a
1,d
1,f
1,k
2,a
2,h
2,p
2,e
2,h
2,p
2,s
2,f
2,k
3,b
3,m
3,o
3,j
3,g
4,a
4,d
4,e
4,d
4,h
4,p
4,n
4,k
5,d
5,a
5,h
5,p
5,e
5,d
5,h
5,p
5,e
5,h
5,d
5,p
5,l
5,f
5,k
6,h
6,p
6,d
6,a
6,e
6,d
6,e
6,d
6,e
6,h
6,d
6,p
6,e
6,h
6,d
6,p
6,f
6,n
6,k
7,b
7,m
7,i
7,o
7,j
7,g
8,b
8,m
8,o
8,j
8,g
9,a
9,h
9,p
9,e
9,h
9,d
9,p
9,l
9,f
9,k
10,b
10,m
10,o
10,j
10,g
11,c
11,t
11,a
11,q
11,c
11,t
11,r
12,b
12,m
12,o
12,j
12,g
13,h
13,p
13,e
13,a
13,d
13,s
13,k
14,b
14,m
14,o
14,g
14,j
15,c
15,a
15,t
15,r
16,b
16,m
16,i
16,o
16,j
16,g
17,b
17,m
17,o
17,i
17,j
17,g
18,b
18,i
18,j
18,g
19,b
19,i
19,g
19,j
20,a
20,d
20,h
20,p
20,l
20,k
21,b
21,i
21,j
21,g
22,a
22,c
22,t
22,q
22,c
22,t
22,q
22,c
22,t
22,q
22,c
22,t
22,q
22,c
22,t
22,q
22,c
22,t
22,q
22,c
22,t
22,r
23,h
23,a
23,p
23,d
23,e
23,h
23,p
23,e
23,d
23,h
23,p
23,e
23,h
23,p
23,l
23,k
24,h
24,a
24,p
24,f
24,k
25,a
25,c
25,t
25,q
25,c
25,t
25,q
25,c
25,t
25,r
26,b
26,i
26,m
26,o
26,g
26,j
27,d
27,a
27,h
27,p
27,e
27,d
27,e
27,h
27,p
27,s
27,k
28,b
28,m
28,o
28,g
28,j
29,b
29,m
29,i
29,o
29,j
29,g
30,d
30,h
30,a
30,p
30,f
30,k
31,b
31,m
31,o
31,j
31,g
32,c
32,a
32,t
32,r
33,h
33,a
33,p
33,e
33,d
33,e
33,d
33,h
33,p
33,f
33,l
33,k
34,c
34,a
34,t
34,q
34,c
34,t
34,q
34,c
34,t
34,r
35,c
35,a
35,t
35,q
35,c
35,t
35,q
35,c
35,t
35,q
35,c
35,t
35,r
36,c
36,a
36,t
36,q
36,c
36,t
36,q
36,c
36,t
36,q
36,c
36,t
36,q
36,c
36,t
36,r
37,c
37,t
37,q
37,c
37,t
37,q
37,c
37,t
37,q
37,a
37,c
37,t
37,r
38,a
38,c
38,t
38,r
39,b
39,i
39,j
39,g
40,c
40,t
40,a
40,q
40,c
40,t
40,q
40,c
40,t
40,r
41,b
41,m
41,o
41,j
41,g
42,a
42,c
42,t
42,r
43,h
43,a
43,d
43,p
43,e
43,d
43,h
43,p
43,e
43,d
43,f
43,s
43,k
44,c
44,a
44,t
44,r
45,d
45,h
45,a
45,p
45,e
45,d
45,s
45,f
45,k
46,a
46,c
46,t
46,q
46,c
46,t
46,q
46,c
46,t
46,r
47,b
47,i
47,m
47,o
47,g
47,j
48,b
48,m
48,i
48,o
48,g
48,j
49,a
49,c
49,t
49,r
50,a
50,c
50,t
50,r
51,h
51,d
51,a
51,p
51,e
51,h
51,p
51,e
51,h
51,p
51,f
51,s
51,k
52,c
52,a
52,t
52,r
53,h
53,a
53,p
53,e
53,h
53,p
53,d
53,f
53,k
54,a
54,d
54,h
54,p
54,n
54,f
54,k
55,b
55,m
55,o
55,g
55,j
56,a
56,c
56,t
56,q
56,c
56,t
56,q
56,c
56,t
56,r
57,d
57,h
57,a
57,p
57,f
57,k
58,c
58,a
58,t
58,r
59,b
59,i
59,g
59,j
60,b
60,i
60,g
60,j
61,a
61,c
61,t
61,q
61,c
61,t
61,r
62,b
62,m
62,o
62,i
62,g
62,j
63,d
63,a
63,l
63,f
63,k
64,b
64,i
64,j
64,g
65,b
65,i
65,j
65,g
66,c
66,a
66,t
66,q
66,c
66,t
66,q
66,c
66,t
66,q
66,c
66,t
66,q
66,c
66,t
66,q
66,c
66,t
66,r
67,b
67,i
67,j
67,g
68,b
68,i
68,m
68,o
68,j
68,g
69,a
69,h
69,p
69,e
69,h
69,d
69,p
69,e
69,d
69,e
69,h
69,d
69,p
69,l
69,f
69,k
70,b
70,m
70,o
70,g
70,j
71,a
71,d
71,h
71,p
71,n
71,f
71,k
72,c
72,a
72,t
72,q
72,c
72,t
72,r
73,c
73,a
73,t
73,q
73,c
73,t
73,q
73,c
73,t
73,q
73,c
73,t
73,r
74,h
74,p
74,e
74,a
74,d
74,h
74,p
74,n
74,f
74,k
75,b
75,i
75,g
75,j
76,b
76,i
76,m
76,o
76,g
76,j
77,b
77,m
77,o
77,g
77,j
78,b
78,m
78,o
78,j
78,g
79,a
79,c
79,t
79,q
79,c
79,t
79,r
80,d
80,h
80,a
80,p
80,f
80,l
80,k
81,d
81,h
81,p
81,a
81,e
81,d
81,h
81,p
81,f
81,k
82,c
82,a
82,t
82,r
83,b
83,i
83,g
83,j
84,b
84,m
84,i
84,o
84,g
84,j
85,b
85,i
85,g
85,j
86,a
86,c
86,t
86,r
87,b
87,m
87,o
87,j
87,g
88,d
88,l
88,a
88,f
88,k
89,h
89,p
89,a
89,d
89,e
89,d
89,h
89,p
89,e
89,h
89,d
89,p
89,f
89,k
90,b
90,i
90,g
90,j
91,d
91,a
91,h
91,p
91,e
91,d
91,f
91,s
91,k
92,a
92,c
92,t
92,r
93,b
93,i
93,g
93,j
94,b
94,i
94,m
94,o
94,g
94,j
95,a
95,c
95,t
95,q
95,c
95,t
95,q
95,c
95,t
95,q
95,c
95,t
95,q
95,c
95,t
95,q
95,c
95,t
95,q
95,c
95,t
95,q
95,c
95,t
95,r
96,b
96,i
96,j
96,g
97,d
97,a
97,f
97,l
97,k
98,b
98,m
98,i
98,o
98,g
98,j
99,b
99,i
99,j
99,g
100,h
100,p
100,d
100,s
100,k
100,a
101,d
101,l
101,a
101,k
102,b
102,m
102,i
102,o
102,g
102,j
103,d
103,a
103,h
103,p
103,l
103,f
103,k
104,a
104,h
104,p
104,e
104,h
104,p
104,e
104,d
104,h
104,p
104,f
104,k
105,b
105,m
105,o
105,g
105,j
106,b
106,m
106,o
106,g
106,j
107,a
107,h
107,p
107,s
107,f
107,k
108,a
108,c
108,t
108,q
108,c
108,t
108,q
108,c
108,t
108,r
109,a
109,d
109,e
109,h
109,p
109,d
109,l
109,k
110,b
110,i
110,m
110,o
110,j
110,g
111,d
111,a
111,l
111,k
112,a
112,c
112,t
112,r
113,b
113,m
113,i
113,o
113,g
113,j
114,d
114,a
114,h
114,p
114,e
114,d
114,l
114,f
114,k
115,c
115,a
115,t
115,r
116,b
116,i
116,m
116,o
116,g
116,j
117,b
117,i
117,j
117,g
118,a
118,d
118,h
118,p
118,e
118,d
118,n
118,k
119,a
119,h
119,p
119,e
119,h
119,d
119,p
119,e
119,h
119,d
119,p
119,e
119,h
119,d
119,p
119,e
119,d
119,h
119,p
119,s
119,k
120,b
120,i
120,m
120,o
120,g
120,j
121,b
121,i
121,j
121,g
122,a
122,c
122,t
122,r
123,c
123,a
123,t
123,r
124,c
124,a
124,t
124,r
125,c
125,a
125,t
125,q
125,c
125,t
125,r
126,h
126,a
126,p
126,e
126,d
126,h
126,p
126,f
126,k
127,a
127,h
127,p
127,e
127,h
127,p
127,s
127,f
127,k
128,b
128,m
128,o
128,j
128,g
129,a
129,d
129,e
129,d
129,h
129,p
129,f
129,l
129,k
130,a
130,h
130,d
130,p
130,e
130,h
130,p
130,f
130,n
130,k
131,b
131,i
131,j
131,g
132,b
132,i
132,m
132,o
132,g
132,j
133,c
133,a
133,t
133,q
133,c
133,t
133,r
134,h
134,p
134,d
134,a
134,s
134,f
134,k
135,b
135,i
135,g
135,j
136,b
136,i
136,j
136,g
137,b
137,i
137,j
137,g
138,c
138,a
138,t
138,r
139,a
139,h
139,p
139,l
139,k
140,b
140,m
140,i
140,o
140,j
140,g
141,b
141,m
141,i
141,o
141,g
141,j
142,b
142,i
142,g
142,j
143,b
143,m
143,i
143,o
143,g
143,j
144,b
144,i
144,g
144,j
145,a
145,c
145,t
145,r
146,b
146,i
146,m
146,o
146,g
146,j
147,b
147,i
147,m
147,o
147,j
147,g
148,h
148,a
148,p
148,d
148,e
148,d
148,e
148,h
148,p
148,n
148,f
148,k
149,b
149,m
149,o
149,j
149,g
150,b
150,i
150,j
150,g
151,d
151,a
151,h
151,p
151,n
151,f
151,k
152,d
152,a
152,e
152,h
152,d
152,p
152,l
152,f
152,k
153,b
153,i
153,j
153,g
154,h
154,d
154,a
154,p
154,e
154,d
154,h
154,p
154,n
154,f
154,k
155,b
155,i
155,m
155,o
155,g
155,j
156,b
156,i
156,m
156,o
156,j
156,g
157,c
157,a
157,t
157,r
158,b
158,m
158,o
158,i
158,j
158,g
159,d
159,h
159,a
159,p
159,e
159,d
159,e
159,h
159,p
159,e
159,d
159,h
159,p
159,e
159,d
159,n
159,f
159,k
160,b
160,i
160,m
160,o
160,j
160,g
161,c
161,t
161,a
161,q
161,c
161,t
161,q
161,c
161,t
161,q
161,c
161,t
161,q
161,c
161,t
161,q
161,c
161,t
161,r
162,b
162,m
162,i
162,o
162,g
162,j
163,c
163,a
163,t
163,q
163,c
163,t
163,q
163,c
163,t
163,q
163,c
163,t
163,r
164,b
164,m
164,o
164,j
164,g
165,b
165,i
165,j
165,g
166,b
166,i
166,g
166,j
167,a
167,c
167,t
167,r
168,b
168,m
168,i
168,o
168,g
168,j
169,h
169,a
169,d
169,p
169,e
169,d
169,s
169,f
169,k
170,b
170,i
170,j
170,g
171,b
171,i
171,g
171,j
172,b
172,m
172,i
172,o
172,g
172,j
173,b
173,i
173,m
173,o
173,j
173,g
174,a
174,c
174,t
174,q
174,c
174,t
174,r
175,b
175,i
175,m
175,o
175,g
175,j
176,c
176,a
176,t
176,q
176,c
176,t
176,r
177,b
177,m
177,i
177,o
177,j
177,g
178,a
178,c
178,t
178,q
178,c
178,t
178,q
178,c
178,t
178,r
179,a
179,c
179,t
179,q
179,c
179,t
179,q
179,c
179,t
179,q
179,c
179,t
179,q
179,c
179,t
179,r
180,a
180,c
180,t
180,q
180,c
180,t
180,r
181,b
181,m
181,o
181,g
181,j
182,a
182,c
182,t
182,r
183,a
183,d
183,h
183,p
183,e
183,d
183,h
183,p
183,f
183,n
183,k
184,h
184,d
184,a
184,p
184,n
184,k
185,b
185,i
185,m
185,o
185,g
185,j
186,b
186,i
186,g
186,j
187,d
187,a
187,f
187,k
188,b
188,m
188,i
188,o
188,g
188,j
189,a
189,c
189,t
189,q
189,c
189,t
189,q
189,c
189,t
189,q
189,c
189,t
189,q
189,c
189,t
189,r
190,a
190,d
190,h
190,p
190,e
190,h
190,p
190,d
190,e
190,d
190,f
190,s
190,k
191,b
191,m
191,i
191,o
191,g
191,j
192,a
192,h
192,p
192,e
192,h
192,p
192,f
192,s
192,k
193,b
193,i
193,j
193,g
194,h
194,p
194,d
194,a
194,f
194,n
194,k
195,a
195,c
195,t
195,r
196,b
196,m
196,o
196,j
196,g
197,b
197,m
197,o
197,g
197,j
198,b
198,i
198,g
198,j
199,h
199,p
199,a
199,f
199,k
200,b
200,i
200,m
200,o
200,g
200,j
201,d
201,a
201,h
201,p
201,e
201,d
201,e
201,d
201,h
201,p
201,e
201,h
201,p
201,d
201,e
201,d
201,h
201,p
201,e
201,d
201,h
201,p
201,e
201,d
201,h
201,p
201,e
201,h
201,d
201,p
201,e
201,h
201,d
201,p
201,e
201,h
201,d
201,p
201,e
201,h
201,d
201,p
201,n
201,k
202,b
202,i
202,m
202,o
202,j
202,g
203,b
203,i
203,g
203,j
204,d
204,h
204,a
204,p
204,f
204,n
204,k
205,b
205,i
205,g
205,j
206,a
206,c
206,t
206,r
207,b
207,i
207,m
207,o
207,j
207,g
208,a
208,d
208,h
208,p
208,e
208,h
208,d
208,p
208,f
208,k
209,h
209,a
209,p
209,l
209,f
209,k
210,b
210,m
210,o
210,j
210,g
211,h
211,p
211,d
211,a
211,s
211,k
212,b
212,i
212,j
212,g
213,c
213,t
213,a
213,q
213,c
213,t
213,q
213,c
213,t
213,q
213,c
213,t
213,r
214,b
214,i
214,g
214,j
215,b
215,i
215,m
215,o
215,g
215,j
216,b
216,i
216,j
216,g
217,b
217,m
217,i
217,o
217,g
217,j
218,h
218,d
218,a
218,p
218,f
218,l
218,k
219,c
219,t
219,r
219,a
220,d
220,a
220,h
220,p
220,f
220,l
220,k
221,a
221,d
221,l
221,f
221,k
222,b
222,m
222,i
222,o
222,g
222,j
223,a
223,h
223,p
223,f
223,l
223,k
224,a
224,c
224,t
224,r
225,b
225,m
225,o
225,i
225,g
225,j
226,c
226,a
226,t
226,q
226,c
226,t
226,r
227,a
227,h
227,p
227,e
227,h
227,d
227,p
227,e
227,d
227,h
227,p
227,e
227,d
227,e
227,h
227,d
227,p
227,e
227,h
227,p
227,e
227,d
227,s
227,k
228,a
228,c
228,t
228,q
228,c
228,t
228,r
229,b
229,m
229,i
229,o
229,g
229,j
230,b
230,i
230,j
230,g
231,b
231,i
231,m
231,o
231,j
231,g
232,b
232,m
232,i
232,o
232,g
232,j
233,b
233,i
233,m
233,o
233,g
233,j
234,b
234,i
234,j
234,g
235,b
235,i
235,m
235,o
235,g
235,j
236,c
236,a
236,t
236,q
236,c
236,t
236,q
236,c
236,t
236,r
237,b
237,m
237,o
237,j
237,g
238,b
238,i
238,m
238,o
238,g
238,j
239,b
239,i
239,m
239,o
239,j
239,g
240,a
240,c
240,t
240,r
241,b
241,m
241,o
241,i
241,j
241,g
242,b
242,m
242,o
242,i
242,j
242,g
243,b
243,m
243,o
243,g
243,j
244,a
244,c
244,t
244,r
245,d
245,f
245,s
245,a
245,k
246,b
246,i
246,m
246,o
246,j
246,g
247,b
247,i
247,g
247,j
248,b
248,m
248,i
248,o
248,g
248,j
249,c
249,a
249,t
249,q
249,c
249,t
249,q
249,c
249,t
249,q
249,c
249,t
249,q
249,c
249,t
249,r
250,b
250,m
250,o
250,i
250,g
250,j
251,b
251,i
251,m
251,o
251,g
251,j
252,b
252,i
252,j
252,g
253,c
253,a
253,t
253,q
253,c
253,t
253,q
253,c
253,t
253,r
254,a
254,c
254,t
254,r
255,b
255,m
255,o
255,i
255,j
255,g
256,a
256,d
256,e
256,d
256,h
256,p
256,e
256,h
256,d
256,p
256,e
256,h
256,p
256,e
256,d
256,e
256,h
256,p
256,e
256,h
256,p
256,f
256,s
256,k
257,b
257,i
257,j
257,g
258,b
258,m
258,o
